Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
4/1/1970,"Casablanca, Morocco",Royal Air Maroc,Agadir - Casablanca,Aerospatiale Caravelle 3,82,61,0
4/2/1970,"Cambridge, Maryland",East Coast Air - Air Taxi,"Teterboro, NJ - Cambridge, MD",Piper PA-32,3,3,0
6/1/1970,"Tripoli, Libya",Ceskoslovenske Aerolinie,,Tupolev TU-104A,13,13,0
8/12/1970,"Taipei, Taiwan",China Airlines (Taiwan),Hwa-Lien,NAMC YS-11A-219,31,14,0
8/30/1970,"Haringvreter, Netherlands",Dutch Continental Airways,,Britten-Norman BN-2A Islander,10,3,0
10/10/1970,"Dayton, Ohio",Saturn Airways,"Dayton, OH - Ft. Dix, NJ",Lockheed L-100-20 Hercules,3,3,0
11/14/1970,"Near Huntington, West Virginia",Southern Airways,"Kingston, NC - Huntington, WV",McDonnell Douglas DC-9-31,75,75,0
8/19/1971,"Augusta, Maine",Downeast Airlines,"Boston, MA - Rockville, ME diverted to  Augusta ME",Piper PA-31,8,3,0
9/4/1971,"Near Juneau, Alaska",Alaska Airlines,Anchorage - Seattle,Boeing B-727-193,111,111,0
9/16/1971,"Kiev, Ukraine, USSR",Malev Hungarian Airlines,Budapest - Kiev,Tupolev TU-134A,49,49,0
4/16/1972,Near Ardinello di Amaseno,Aero Transporti Italiani,Rome - Foggia,Fokker F-27 Friendship 200,18,18,0
4/24/1972,"Nyot Mo, Laos",Air America,"Long Tieng, Laos - Moung Cha, Laos",Pilatus PC6CH2,10,4,0
5/21/1972,"Lobito, Angola",DTA Angola Airlines,Luanda - Lobito - Sa Da Bandeira,Fokker F-27 Friendship 200,25,22,0
6/1/1972,"Valdez, Alaska",Fairbanks Air - Air Taxi,"Fairbanks, AK - Valdez, AK",Cessna U206C,2,2,0
7/11/1972,"Near Grytoya, Norway",Military - Royal Norwegian Air Force,Bardufoss - Bodoe,de Havilland Canada DHC-6 Twin Otter 100,19,19,0
11/4/1972,"Near Plovdiv, Bulgaria",Balkan Bulgarian Airlines,Burgas - Sofia,Ilyushin IL-14P,35,35,0
12/20/1972,"Chicago, Illinois",Delta Air Lines/ North Central Airlines,Tampa - Chicago / Chicago - Madison,Convair CV-880 / McDonnell DC-9-31,133,10,0
1/27/1973,"Townsend, Tennessee",Air Transit - Air Taxi,"Knoxville, TN - Andrews, NC",Cessna 182B,4,3,0
2/22/1973,"Londonderry, Vermont",Air Taxi,"Mt. Empire, VT - Springfield, VT",Cessna 310J,2,2,0
5/11/1973,"Greenville, Maine",Air Taxi,"Concord, NH - Greenville, ME",Cessna 402B,4,4,0
8/22/1973,"El Yopal, Colombia",AVIANCA,Villavicencio - El Yopal,Douglas DC-3,17,16,0
8/27/1973,"Bogota, Colombia",Aerovias Brasil,Bogota - Cartagena,Lockheed L-188A Electra,42,42,0
9/8/1973,"King Cove, Alaska",World Airways,"Travis AFB - Clark AFB - Yokota AFB, Japan",McDonnell Douglas DC-8-63F,6,6,0
1/1/1974,"Near Turin, Italy",Itavia,Bologna - Torino,Fokker F-28 Fellowship 1000,42,38,0
9/11/1974,"Near Charlotte, North Carolina",Eastern Air Lines,"Charleston, SC - Charlotte, NC - Chicago, IL",McDonnell Douglas DC-9-31,82,70,0
10/17/1974,"Kassan, Alaska",Webber Airlines -Air Taxi,"Kassan, AK - Coffman Cove, AK",de Havilland DHC-2,8,5,0
10/24/1974,"Blair, Oklahoma",AltusFlying Service - Air Taxi,"Dallas, TX - Altus, OK",Piper PA-31,4,2,0
10/24/1974,"Chicao, Illinois",Henry Nichols - Air Taxi,"Indianapolis, IN - Chicago, Il",Cessna 337D,3,2,0
1/15/1975,"Budapest, Hunary",Malev Hungarian Airlines,Berlin - Budapest,Ilyushin IL-18V,9,9,0
7/15/1975,"Poway, California",Oceanaire Helicopter - Air Taxi,"Poway, CA - Pomona, CA",Bell 206B,4,4,0
8/30/1975,"Near Gambell, Alaska",Wien Air Alaska,Nome - Gambell,Fairchild F-27B,32,10,0
10/30/1975,"Near Prague, Czechoslovakia",Inex Adria Aviopromet,Tivat - Praha,McDonnell Douglas DC-9-32,120,75,0
11/22/1975,Near Novgorod (Russia,Aeroflot,,Yakovlev 40,6,6,5
11/29/1975,"Hertfordshire, England",Private,,Piper PA-23-250 Aztec,6,6,0
1/3/1976,"Anchorage, Alaska",Winship Air,"Anchorage, AK - Deadhorse, AK",Lear Jet 24A,6,6,0
2/3/1976,"Lafayette, Louisiana",Falcon Airways - Air Taxi,"Lafayette, LA - Patterson, LA",Beechcraft  C-45H,2,2,0
12/12/1976,"Cape May, New Jersey",AtlantiCity Airlines,AtlantiCity - Cap May,de Havilland Canada DHC-6 Twin Otter 300,10,3,0
12/17/1976,"Kiev, USSR",Aeroflot,,Antonov AN-24RV,55,48,0
3/27/1977,"Tenerife, Canary Islands",Pan American World Airways / KLM,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,644,583,0
3/30/1977,"Near Zhadanof, Russia",Aeroflot,,Yakovlev YAK-40,27,8,0
10/1/1977,"Grand Chenier, Louisiana",Air Logistics,"New Iberia, LA - Grand Chenier, LA",Bell 206B,2,2,0
10/1/1977,"Grand Chenier, Louisiana",Air Logistics,"New Iberia, LA - Grand Chenier, LA",Bell 206B,2,2,0
11/26/1977,"Pinehurst, North Carolina",Resort Air Service - Air Taxi,"Charlotte, NC - Pinehurst, NC",Beechcraft 58,2,2,0
11/29/1977,"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,Jeddah - Benghazi,Tupolev TU-154B,165,59,0
12/11/1977,"Evansville, Indiana","National Jet Services Inc.,  (Air Indiana)",Evansville - Nashville,Douglas DC-3,29,29,0
1/24/1978,"Near San Vincente, Colombia",SADELCA,Neiva - San Vincente,Douglas DC-3,14,14,0
3/16/1978,"Near Riverside, California",Lake Havasu Air,"Santa Ana, CA - Lake Havasu, AZ",Cessna T207A,6,6,0
